order,companyLink,companyName,documentNumber,,,,,,,,
1605620865-51,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620885-102,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620847-5,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620885-101,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620872-72,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620882-100,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620892-126,007 BONDS OF FT. MYERS INC.,007 BONDS OF FT. MYERS INC.,P03000059676,,,,,,,,
1605620870-61,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620855-23,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620872-71,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620868-54,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620853-17,11601 BISCAYNE BLVD. CORP.,11601 BISCAYNE BLVD. CORP.,M08327,,,,,,,,
1605620880-86,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620887-110,"1001 ENTERPRISES, INC","1001 ENTERPRISES, INC",P11000103808,,,,,,,,
1605620895-131,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620880-87,101 E. FLAGLER STREET UNIT 906 LLC,101 E. FLAGLER STREET UNIT 906 LLC,L15000078213,,,,,,,,
1605620890-119,"1001 ENTERPRISES, LLC","1001 ENTERPRISES, LLC",L05000104185,,,,,,,,
1605620870-62,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620877-84,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620868-55,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620870-63,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620860-36,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620865-49,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620875-78,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620875-75,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620863-42,1100 NORTH MIAMI AVENUE LLC,1100 NORTH MIAMI AVENUE LLC,L04000075562,,,,,,,,
1605620860-40,1111 SOLUTIONS LLC,1111 SOLUTIONS LLC,L17000138908,,,,,,,,
1605620858-31,"112 NW 8 AVE, LLC","112 NW 8 AVE, LLC",L17000115031,,,,,,,,
1605620850-9,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
1605620875-77,"1030 NORTH MIAMI AVENUE, LLC","1030 NORTH MIAMI AVENUE, LLC",L14000115167,,,,,,,,
1605620855-21,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620855-20,1140 NORTH MIAMI AVENUE LLC,1140 NORTH MIAMI AVENUE LLC,L05000034774,,,,,,,,
1605620868-58,"1090 NW N RIVER DRIVE 302, LLC","1090 NW N RIVER DRIVE 302, LLC",L15000096058,,,,,,,,
1605620872-69,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620847-6,"11USAGROUP, LLC","11USAGROUP, LLC",L13000147409,,,,,,,,
1605620872-65,"1035 NORTH MIAMI AVENUE, LLC","1035 NORTH MIAMI AVENUE, LLC",L04000046990,,,,,,,,
1605620882-95,"1018 NW 10 CT, LLC","1018 NW 10 CT, LLC",L16000096494,,,,,,,,
1605620877-79,"101 FAIRVIEW, LLC","101 FAIRVIEW, LLC",L20000256182,,,,,,,,
1605620895-132,007 BAIL INC.,007 BAIL INC.,P03000075995,,,,,,,,
1605620850-10,"11CABARET, LLC","11CABARET, LLC",L16000069816,,,,,,,,
1605620865-48,"10KKREATIONZ, LLC","10KKREATIONZ, LLC",L19000259043,,,,,,,,
1605620885-108,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
1605620870-59,"1036 NORTH MIAMI AVENUE, LLC","1036 NORTH MIAMI AVENUE, LLC",L12000155812,,,,,,,,
1605620885-105,"1010 NW 11 ST, LLC","1010 NW 11 ST, LLC",L17000136412,,,,,,,,
